fecha,hora,triage_cantidad
29JUL2020,14,26
29JUL2020,13,24
29JUL2020,12,19
29JUL2020,11,20
29JUL2020,10,18
29JUL2020,9,14
29JUL2020,8,7
29JUL2020,7,6
29JUL2020,6,1
29JUL2020,5,3
29JUL2020,4,7
29JUL2020,3,6
29JUL2020,2,1
29JUL2020,1,5
29JUL2020,0,7
28JUL2020,23,5
28JUL2020,22,16
28JUL2020,21,28
28JUL2020,20,19
28JUL2020,19,20
28JUL2020,18,18
28JUL2020,17,14
28JUL2020,16,20
28JUL2020,15,24
28JUL2020,14,21
28JUL2020,13,23
28JUL2020,12,25
28JUL2020,11,14
28JUL2020,10,12
28JUL2020,9,8
28JUL2020,8,6
28JUL2020,7,2
28JUL2020,6,2
28JUL2020,5,2
28JUL2020,4,3
28JUL2020,3,2
28JUL2020,2,5
28JUL2020,1,7
28JUL2020,0,9
27JUL2020,23,10
27JUL2020,22,13
27JUL2020,21,20
27JUL2020,20,18
27JUL2020,19,23
27JUL2020,18,11
27JUL2020,17,20
27JUL2020,16,24
27JUL2020,15,22
27JUL2020,14,23
27JUL2020,13,28
27JUL2020,12,28
27JUL2020,11,26
27JUL2020,10,22
27JUL2020,9,15
27JUL2020,8,9
27JUL2020,7,3
27JUL2020,6,2
27JUL2020,5,3
27JUL2020,4,3
27JUL2020,3,6
27JUL2020,2,3
27JUL2020,1,7
27JUL2020,0,9
26JUL2020,23,12
26JUL2020,22,9
26JUL2020,21,13
26JUL2020,20,20
26JUL2020,19,16
26JUL2020,18,21
26JUL2020,17,5
26JUL2020,16,16
26JUL2020,15,18
26JUL2020,14,14
26JUL2020,13,14
26JUL2020,12,17
26JUL2020,11,19
26JUL2020,10,8
26JUL2020,9,7
26JUL2020,8,2
26JUL2020,7,4
26JUL2020,6,2
26JUL2020,5,3
26JUL2020,4,3
26JUL2020,3,4
26JUL2020,2,8
26JUL2020,1,6
26JUL2020,0,7
25JUL2020,23,8
25JUL2020,22,16
25JUL2020,21,16
25JUL2020,20,17
25JUL2020,19,20
25JUL2020,18,16
25JUL2020,17,6
25JUL2020,16,19
25JUL2020,15,16
25JUL2020,14,20
25JUL2020,13,20
25JUL2020,12,9
25JUL2020,11,16
25JUL2020,10,10
25JUL2020,9,7
25JUL2020,8,7
25JUL2020,7,6
25JUL2020,0,1
24JUL2020,23,9
24JUL2020,22,8
24JUL2020,21,13
24JUL2020,20,18
24JUL2020,19,18
24JUL2020,18,19
24JUL2020,17,21
24JUL2020,16,11
24JUL2020,15,22
24JUL2020,14,28
24JUL2020,13,16
24JUL2020,12,16
24JUL2020,11,17
24JUL2020,10,16
24JUL2020,9,21
24JUL2020,8,9
24JUL2020,7,5
24JUL2020,6,1
24JUL2020,5,1
24JUL2020,4,2
24JUL2020,3,4
24JUL2020,2,6
24JUL2020,1,11
24JUL2020,0,13
23JUL2020,23,11
23JUL2020,22,17
23JUL2020,21,23
23JUL2020,20,18
23JUL2020,19,18
23JUL2020,18,24
23JUL2020,17,22
23JUL2020,16,14
23JUL2020,15,26
23JUL2020,14,30
23JUL2020,13,21
23JUL2020,12,16
23JUL2020,11,26
23JUL2020,10,7
23JUL2020,9,12
23JUL2020,8,10
23JUL2020,7,2
23JUL2020,6,1
23JUL2020,4,2
23JUL2020,3,6
23JUL2020,2,4
23JUL2020,1,4
23JUL2020,0,11
22JUL2020,23,16
22JUL2020,22,13
22JUL2020,21,23
22JUL2020,20,16
22JUL2020,19,18
22JUL2020,18,23
22JUL2020,17,19
22JUL2020,16,21
22JUL2020,15,20
22JUL2020,14,27
22JUL2020,13,27
22JUL2020,12,24
22JUL2020,11,21
22JUL2020,10,16
22JUL2020,9,5
22JUL2020,8,6
22JUL2020,7,2
22JUL2020,6,2
22JUL2020,5,4
22JUL2020,4,3
22JUL2020,3,3
22JUL2020,2,5
22JUL2020,1,6
22JUL2020,0,12
21JUL2020,23,13
21JUL2020,22,13
21JUL2020,21,23
21JUL2020,20,15
21JUL2020,19,21
21JUL2020,18,24
21JUL2020,17,15
21JUL2020,16,15
21JUL2020,15,26
21JUL2020,14,30
21JUL2020,13,26
21JUL2020,12,19
21JUL2020,11,25
21JUL2020,10,29
21JUL2020,9,28
21JUL2020,8,5
21JUL2020,7,7
21JUL2020,6,6
21JUL2020,5,3
21JUL2020,4,1
21JUL2020,3,3
21JUL2020,2,4
21JUL2020,1,11
21JUL2020,0,15
20JUL2020,23,12
20JUL2020,22,12
20JUL2020,21,16
20JUL2020,20,17
20JUL2020,19,13
20JUL2020,18,28
20JUL2020,17,20
20JUL2020,16,18
20JUL2020,15,26
20JUL2020,14,18
20JUL2020,13,25
20JUL2020,12,16
20JUL2020,11,14
20JUL2020,10,11
20JUL2020,9,7
20JUL2020,8,9
20JUL2020,7,5
20JUL2020,6,5
20JUL2020,5,2
20JUL2020,4,3
20JUL2020,3,5
20JUL2020,2,5
20JUL2020,1,3
20JUL2020,0,4
19JUL2020,23,13
19JUL2020,22,10
