ano;semana_epidemiologica;fecha_inicio_semana_epidemiologica;grupo_etario;departamento_residencia;n_notificaciones;n_confirmados_probables_fis;n_confirmados_por_laboratorio;n_internados_fecha_internacion;n_internados_uti_fecha_internacion;n_fallecidos_confirmados_por_laboratorio
2023;7;2023-02-12;[40,50);COMUNA 7;2;1;1;0;0;0
2023;7;2023-02-12;[50,60);COMUNA 7;0;1;1;0;0;0
2023;7;2023-02-12;[20,30);COMUNA 8;2;0;0;0;0;0
2023;7;2023-02-12;[60,70);COMUNA 8;1;1;1;0;0;0
2023;7;2023-02-12;[70,80);COMUNA 8;1;0;0;0;0;0
2023;7;2023-02-12;[80,90);COMUNA 8;1;0;0;0;0;0
2023;7;2023-02-12;[0,10);COMUNA 9;1;0;0;0;0;0
2023;7;2023-02-12;[20,30);COMUNA 9;1;0;0;0;0;0
2023;7;2023-02-12;[30,40);COMUNA 9;2;0;0;0;0;0
2023;7;2023-02-12;[40,50);COMUNA 9;0;1;1;0;0;0
2023;7;2023-02-12;[50,60);COMUNA 9;1;1;1;0;0;0
2023;7;2023-02-12;[0,10);SIN DATOS;1;0;0;0;0;0
2023;7;2023-02-12;[20,30);SIN DATOS;1;0;0;0;0;0
2023;7;2023-02-12;[40,50);SIN DATOS;1;0;0;0;0;0
2023;7;2023-02-12;[50,60);SIN DATOS;2;0;0;0;0;0
2023;8;2023-02-19;[20,30);COMUNA 1;1;1;1;0;0;0
2023;8;2023-02-19;[30,40);COMUNA 1;2;2;1;0;0;0
2023;8;2023-02-19;[50,60);COMUNA 1;1;1;1;0;0;0
2023;8;2023-02-19;[0,10);COMUNA 10;1;0;0;0;0;0
2023;8;2023-02-19;[10,20);COMUNA 10;1;0;0;0;0;0
2023;8;2023-02-19;[10,20);COMUNA 11;0;1;1;0;0;0
2023;8;2023-02-19;[20,30);COMUNA 11;4;2;2;0;0;0
2023;8;2023-02-19;[40,50);COMUNA 11;3;0;0;0;0;0
2023;8;2023-02-19;[60,70);COMUNA 11;1;2;2;1;0;0
2023;8;2023-02-19;[70,80);COMUNA 11;0;0;0;1;0;0
2023;8;2023-02-19;[30,40);COMUNA 12;1;0;0;0;0;0
2023;8;2023-02-19;[40,50);COMUNA 12;1;0;0;0;0;0
2023;8;2023-02-19;[60,70);COMUNA 12;1;0;0;0;0;0
2023;8;2023-02-19;[10,20);COMUNA 13;1;0;0;0;0;0
2023;8;2023-02-19;[30,40);COMUNA 13;1;0;0;0;0;0
2023;8;2023-02-19;[40,50);COMUNA 14;1;0;0;0;0;0
2023;8;2023-02-19;[30,40);COMUNA 15;1;1;1;0;0;0
2023;8;2023-02-19;[50,60);COMUNA 15;2;0;0;0;0;0
2023;8;2023-02-19;[60,70);COMUNA 15;2;0;0;0;0;0
2023;8;2023-02-19;[80,90);COMUNA 15;1;1;1;0;0;0
2023;8;2023-02-19;[20,30);COMUNA 2;1;0;0;0;0;0
